"year","pc2","pc2Prime","sst","sstPrime","pdoPrime","pdo","npgo","npgoPrime","ALPI","pinkCatch","soxCatch"
1993,-0.0141966666666667,-0.19371375,9.17213421052632,7.38329078947368,1.61,1.41666666666667,-1.90166666666667,-1.3175,-0.94,219586490,128625220
1994,0.59887475,0.04592525,8.9946100877193,7.35500394736842,0.885,-0.151666666666667,-1.21166666666667,-1.055,-0.63,232699290,104839320
1995,-0.16020225,-0.06013575,8.69613903508772,6.88428157894737,1.0775,0.6425,-1.03833333333333,-1.605,1.59,256653510,127063860
1996,0.760865416666667,0.7136115,8.88469736842105,7.38584473684211,1.4375,0.640833333333333,-0.971666666666667,-0.98,0.86,195674540,100547700
1997,-0.0405519166666667,0.4869855,9.29799254385965,7.52632236842105,1.5725,1.46083333333333,-0.658333333333333,-0.7375,0.49,143898240,62173380
1998,-0.50994525,-0.7094895,8.83199912280702,7.33244210526316,1.095,0.245833333333333,0.544166666666667,0.4525,4.58,209559090,45446020
1999,-0.4580415,-0.52174,8.02687061403509,6.10373552631579,-0.68,-1.06333333333333,1.51416666666667,1.7825,0.13,292188610,89358100
2000,0.0113338333333333,-0.75923875,8.6173447368421,6.71398157894737,0.0375,-0.59,1.885,2.21,0.26,150345560,66939670
2001,-0.558821333333333,-1.09048225,8.44987587719298,6.78390526315789,-0.1575,-0.5625,2.08,2.2225,1.5,255703170,53046850
2002,-0.279558,0.14997325,8.92188815789474,6.94761710526316,-0.4325,0.220833333333333,1.47333333333333,1.3775,-0.37,174621690,44420500
2003,-0.867155666666667,-1.0431685,9.00860921052632,7.28498815789474,1.065,0.969166666666667,0.958333333333333,1.0725,2.8,248485540,61824580
2004,0.160877083333333,-0.313549,9.14279210526316,7.35729210526316,0.525,0.345,0.210833333333333,0.375,2.83,199867580,89690520
2005,0.319264166666667,-0.000276750000000003,9.38605833333333,7.93380657894737,1.355,0.375,-1.38,-1.3125,0.9,322503820,86775580
2006,0.4109765,-0.0443465,8.62094035087719,6.80433684210526,0.4925,0.190833333333333,-0.555833333333333,-0.3825,0.37,145642670,83297130
2007,-0.0261203333333333,-0.012115,8.29364078947368,6.35093157894737,-0.0525,-0.195833333333333,0.593333333333333,0.4075,0.55,288174400,94936380
2008,0.4448555,0.27582025,8.00386710526316,6.13212763157895,-1.235,-1.2925,1.45666666666667,1.4475,-1.1,168179230,78196300
2009,0.60462975,1.447528,8.3715600877193,6.70554868421053,-1.1075,-0.6125,0.735,0.4175,-3.96,194410920,86660980
2010,-0.245291,-0.55974675,8.48084824561404,6.62697894736842,0.405,-0.3125,1.37083333333333,1.485,4.08,215363970,82587910
2011,0.844144416666667,0.41133775,8.41441754385965,6.74043947368421,-0.5425,-1.23083333333333,0.856666666666667,1.075,-0.62,232319650,80520040
2012,0.622075,0.10262225,8.06407807017544,6.1578552631579,-0.8625,-1.1,1.4775,1.655,0.27,136091170,71594830
2013,1.31422308333333,1.25458925,9.04052938596491,7.14655131578947,-0.3725,-0.5175,0.344166666666667,0.675,-0.12,452591840,59155620
2014,0.803732166666667,1.10983325,9.90323377192983,8.118,1.18,1.13083333333333,-0.250833333333333,-0.315,-0.57,191432110,88170770
2015,0.454531,0.06183475,9.98550921052632,8.37634473684211,1.545,1.63416666666667,-1.395,-1.1875,0.34,381441160,109511020
