"stk","yr","marCatch","frfnCatch","totalCatch","totalRun"
7,1963,1.110028,0.116432,1.22646,2.224691
7,1964,0.646823,0.095835,0.742658,1.07099
7,1965,0.099786,0.005533,0.105319,0.140654
7,1966,0.736381,0.030684,0.767065,0.976684
7,1967,0.928701,0.023723,0.952424,1.127139
7,1968,1.379905,0.076223,1.456128,1.86999
7,1969,0.275949,0.005112,0.281061,0.351963
7,1970,0.576986,0.048915,0.625901,0.761289
7,1971,1.850984,0.041948,1.892932,2.050125
7,1972,1.744349,0.07784,1.822189,2.384839
7,1973,0.378922,0.012863,0.391785,0.44746
7,1974,0.502776,0.046357,0.549133,0.659159
7,1975,0.454693,0.083141,0.537834,0.782465
7,1976,1.468401,0.135255,1.603656,1.988046
7,1977,0.251062,0.016307,0.267369,0.318699
7,1978,0.481761,0.04711,0.528871,0.675713
7,1979,1.101067,0.071962,1.173029,1.43142
7,1980,1.113208,0.103687,1.216895,1.732131
7,1981,0.177807,0.013497,0.191304,0.225844
7,1982,0.818952,0.105831,0.924783,1.174361
7,1983,1.139048,0.181124,1.320172,1.703005
7,1984,3.174455,0.254587,3.429042,4.009221
7,1985,0.598589,0.024035,0.622624,0.694599
7,1986,0.937137,0.150736,1.087873,1.381677
7,1987,1.333683,0.151876,1.485559,1.906574
7,1988,0.344573,0.141457,0.48603,0.849419
7,1989,0.443147,0.02069,0.463837,0.527218
7,1990,3.562875,0.23357,3.796445,4.622282
7,1991,3.107286,0.222488,3.329774,4.367511
7,1992,2.519935,0.186766,2.706701,3.357669
7,1993,2.6714,0.104692,2.776092,3.331318
7,1994,1.676931,0.267496,1.944427,2.503023
7,1995,0.467173,0.313969,0.781142,1.315701
7,1996,0.718302,0.331677,1.049979,2.024328
7,1997,2.316623,0.166911,2.483534,3.469361
7,1998,0.504859,0.148338,0.653197,1.896532
7,1999,0.086432,0.067666,0.154098,1.122569
7,2000,0.518954,0.114232,0.640695,1.399636
7,2001,0.097973,0.0815,0.183397,0.85218
7,2002,0.172475,0.083784,0.263625,0.646439
7,2003,0.566232,0.256091,0.850133,1.558512
7,2004,0.245012,0.089555,0.342192,0.546611
7,2005,0.198069,0.140963,0.347912,1.070994
7,2006,0.495461,0.172989,0.691172,1.275251
7,2007,0.060875,0.070496,0.131371,0.437224
7,2008,0.047533,0.129458,0.180728,0.445319
7,2009,0.011333,0.024574,0.03619,0.302914
7,2010,1.347115,0.407029,1.796432,4.560416
7,2011,0.33723,0.303897,0.670349,1.688841
7,2012,0.077182,0.184084,0.261884,0.550839
7,2013,0.137158,0.156913,0.294071,1.703168
7,2014,1.263727,0.269798,1.577339,2.656904
7,2015,0.114127,0.096362,0.210502,1.000066
8,1952,0.022495,0.0012,0.023695,0.029658
8,1953,0.019536,0.000389,0.019925,0.025617
8,1954,0.144031,0.000631,0.144662,0.169436
8,1955,0.057194,0.001799,0.058993,0.067964
8,1956,0.008918,0.000602,0.00952,0.01201
8,1957,0.033479,0.000521,0.034,0.04487
8,1958,0.349138,0.001449,0.350587,0.428958
8,1959,0.261903,0.003244,0.265147,0.317457
8,1960,0.008423,0.000502,0.008925,0.011826
8,1961,0.00919,0.000913,0.010103,0.013725
8,1962,0.139866,0.003036,0.142902,0.200738
8,1963,0.096266,0.007782,0.104048,0.175702
8,1964,0.005532,0.000788,0.00632,0.009065
8,1965,0.018201,0.001448,0.019649,0.025738
8,1966,0.146235,0.001926,0.148161,0.176859
8,1967,0.101972,0.000761,0.102733,0.116094
8,1968,0.015612,0.000305,0.015917,0.019668
