"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"123","low","Very Low Prod.","ppnYrsHighCatch","0.5","med",0.725,0.55,0.875
"124","low","Very Low Prod.","stabilityCatch","0.75","high",1.14311906244065,0.703593170283526,1.50382125166074
"125","low","Very Low Prod.","stabilityCatch","0.05","low",1.13701523338361,0.724730255536752,1.71408620141925
"126","low","Very Low Prod.","stabilityCatch","0.5","med",1.12521156473745,0.658216009773154,1.56340654988358
"127","med","Very Low Prod.","medRecRY","0.75","high",3.05748474305476,1.8399987910945,4.24147040079177
"128","med","Very Low Prod.","medRecRY","0.05","low",7.17376980777061,5.30033457796341,9.15513934863713
"129","med","Very Low Prod.","medRecRY","0.5","med",4.00487170771999,2.70998241295717,5.47047700658741
"130","med","Very Low Prod.","ppnCUUpper","0.75","high",0.141666666666667,0.0929861111111112,0.194444444444444
"131","med","Very Low Prod.","ppnCUUpper","0.05","low",0.286111111111111,0.244375,0.325
"132","med","Very Low Prod.","ppnCUUpper","0.5","med",0.183333333333333,0.129097222222223,0.230555555555556
"133","med","Very Low Prod.","ppnCUExtant","0.75","high",0.888888888888889,0.833333333333333,1
"134","med","Very Low Prod.","ppnCUExtant","0.05","low",1,0.944444444444444,1
"135","med","Very Low Prod.","ppnCUExtant","0.5","med",0.944444444444444,0.888888888888889,1
"136","med","Very Low Prod.","medCatch","0.75","high",0.984596109894037,0.606060266617898,1.45267427653442
"137","med","Very Low Prod.","medCatch","0.05","low",2.42209029298118,1.74818903678764,3.11624696082772
"138","med","Very Low Prod.","medCatch","0.5","med",1.2928615190359,0.856797764183318,1.79370274727639
"139","med","Very Low Prod.","ppnYrsHighCatch","0.75","high",0.5,0.3,0.675
"140","med","Very Low Prod.","ppnYrsHighCatch","0.05","low",0.875,0.75,0.95
"141","med","Very Low Prod.","ppnYrsHighCatch","0.5","med",0.625,0.425,0.801249999999999
"142","med","Very Low Prod.","stabilityCatch","0.75","high",0.934178584599767,0.580360701876094,1.24795910489258
"143","med","Very Low Prod.","stabilityCatch","0.05","low",0.997197905596071,0.701077316613564,1.44885384900296
"144","med","Very Low Prod.","stabilityCatch","0.5","med",0.968584360316898,0.584359500117732,1.36461795420627
"145","high","Very Low Prod.","medRecRY","0.75","high",2.41777241446369,1.55524190008657,3.74967020736303
"146","high","Very Low Prod.","medRecRY","0.05","low",7.2213393168993,5.29497812157961,9.46091137615866
"147","high","Very Low Prod.","medRecRY","0.5","med",3.62750525206874,2.19921599889095,5.18978892111618
