"","sigma","om","var","synch","cat","avg","lowQ","highQ"
"132","med","Low Prod. Heavy Tails","ppnCUUpper","0.5","med",0.234027777777778,0.162083333333333,0.307569444444444
"133","med","Low Prod. Heavy Tails","ppnMixedOpen","0.75","high",0.51875,0.3871875,0.66875
"134","med","Low Prod. Heavy Tails","ppnMixedOpen","0.05","low",0.58125,0.5,0.65625
"135","med","Low Prod. Heavy Tails","ppnMixedOpen","0.5","med",0.53125,0.4184375,0.663125
"136","med","Low Prod. Heavy Tails","medCatch","0.75","high",1.28967788376936,0.672434163674234,2.33945820874307
"137","med","Low Prod. Heavy Tails","medCatch","0.05","low",1.59891581165548,1.18787838323411,2.20710324765882
"138","med","Low Prod. Heavy Tails","medCatch","0.5","med",1.34813334095782,0.771312191002642,2.45367428101827
"139","med","Low Prod. Heavy Tails","ppnYrsHighCatch","0.75","high",0.575,0.4,0.75125
"140","med","Low Prod. Heavy Tails","ppnYrsHighCatch","0.05","low",0.7,0.57375,0.80125
"141","med","Low Prod. Heavy Tails","ppnYrsHighCatch","0.5","med",0.625,0.425,0.8
"142","med","Low Prod. Heavy Tails","stabilityCatch","0.75","high",0.620944489526406,0.438364267986264,0.954038628554985
"143","med","Low Prod. Heavy Tails","stabilityCatch","0.05","low",0.777871173565216,0.523326545335039,1.15886347049797
"144","med","Low Prod. Heavy Tails","stabilityCatch","0.5","med",0.666086619617066,0.466688531836282,0.959224918596063
"145","high","Low Prod. Heavy Tails","medRecRY","0.75","high",4.13429953974658,2.06873099736461,8.2278543483771
"146","high","Low Prod. Heavy Tails","medRecRY","0.05","low",5.67721333288578,4.07035263073926,7.54364739390364
"147","high","Low Prod. Heavy Tails","medRecRY","0.5","med",4.4381455522194,2.62108653941328,8.20369453382453
"148","high","Low Prod. Heavy Tails","ppnCUUpper","0.75","high",0.251388888888889,0.163194444444445,0.357708333333333
"149","high","Low Prod. Heavy Tails","ppnCUUpper","0.05","low",0.238888888888889,0.20125,0.291666666666667
"150","high","Low Prod. Heavy Tails","ppnCUUpper","0.5","med",0.2375,0.169097222222222,0.340625
"151","high","Low Prod. Heavy Tails","ppnMixedOpen","0.75","high",0.525,0.39375,0.6753125
"152","high","Low Prod. Heavy Tails","ppnMixedOpen","0.05","low",0.584375,0.505625,0.6625
"153","high","Low Prod. Heavy Tails","ppnMixedOpen","0.5","med",0.53125,0.4121875,0.669375
"154","high","Low Prod. Heavy Tails","medCatch","0.75","high",1.37217332696698,0.658192210976987,2.66035501970882
"155","high","Low Prod. Heavy Tails","medCatch","0.05","low",1.77739414012179,1.27969005304553,2.43937904425131
"156","high","Low Prod. Heavy Tails","medCatch","0.5","med",1.47205762247416,0.792029362904933,2.76541730313679
"157","high","Low Prod. Heavy Tails","ppnYrsHighCatch","0.75","high",0.6,0.4,0.775
"158","high","Low Prod. Heavy Tails","ppnYrsHighCatch","0.05","low",0.725,0.59875,0.82625
"159","high","Low Prod. Heavy Tails","ppnYrsHighCatch","0.5","med",0.625,0.45,0.8
"160","high","Low Prod. Heavy Tails","stabilityCatch","0.75","high",0.599123166102747,0.447535030658629,0.848549280322209
"161","high","Low Prod. Heavy Tails","stabilityCatch","0.05","low",0.783834575531587,0.549130080473885,1.08667514085884
"162","high","Low Prod. Heavy Tails","stabilityCatch","0.5","med",0.666933009460338,0.477413213699815,0.917688855681941
