"sigma","om","var","synch","medn","lowQ","highQ"
"med","Low Prod. Heavy Tails","medCatch","high",1.31274769643723,0.682636851183752,2.29424837860242
"med","Low Prod. Heavy Tails","medCatch","low",1.52810232432553,1.10365336537782,2.27867670401903
"med","Low Prod. Heavy Tails","medCatch","med",1.41182186632138,0.830136298961933,2.2844637832086
"med","Low Prod. Heavy Tails","ppnYrsHighCatch","high",0.6,0.4,0.775
"med","Low Prod. Heavy Tails","ppnYrsHighCatch","low",0.7,0.55,0.85
"med","Low Prod. Heavy Tails","ppnYrsHighCatch","med",0.625,0.425,0.8
"med","Low Prod. Heavy Tails","stabilityCatch","high",0.620437920879348,0.421678506418612,0.935332137442075
"med","Low Prod. Heavy Tails","stabilityCatch","low",0.788924374709393,0.547585722244583,1.15888774584126
"med","Low Prod. Heavy Tails","stabilityCatch","med",0.680262377547598,0.466819456511767,1.00154476600234
"high","Low Prod. Heavy Tails","medRecRY","high",4.21546557053894,2.16346484720631,7.74580767235875
"high","Low Prod. Heavy Tails","medRecRY","low",5.60025478909114,3.88958568294631,8.28776751524994
"high","Low Prod. Heavy Tails","medRecRY","med",4.72898518184422,2.67564795600078,7.94054417805273
"high","Low Prod. Heavy Tails","ppnCUUpper","high",0.252777777777778,0.163819444444445,0.35
"high","Low Prod. Heavy Tails","ppnCUUpper","low",0.243055555555556,0.199930555555556,0.288888888888889
"high","Low Prod. Heavy Tails","ppnCUUpper","med",0.25,0.173541666666667,0.327847222222222
"high","Low Prod. Heavy Tails","ppnMixedOpen","high",0.54375,0.3934375,0.68125
"high","Low Prod. Heavy Tails","ppnMixedOpen","low",0.59375,0.50625,0.675
"high","Low Prod. Heavy Tails","ppnMixedOpen","med",0.5625,0.425,0.6690625
"high","Low Prod. Heavy Tails","medCatch","high",1.3991919956369,0.675634643551637,2.67038526837108
"high","Low Prod. Heavy Tails","medCatch","low",1.78688704001896,1.20751570780618,2.66861966042462
"high","Low Prod. Heavy Tails","medCatch","med",1.53107205214884,0.856805707747424,2.71612712051224
